timestamp,time_s,throughput_Mbps,jitter_ms,loss,delay_ms
1780011467.314,3.675,0.003,0.0,0.0,142.538
1780011467.815,4.176,8.105,0.14,15.777,87.235
1780011468.316,4.677,6.732,0.147,14.731,40.238
1780011468.818,5.179,6.289,0.058,20.563,40.161
1780011469.319,5.68,6.305,0.305,20.339,40.561
1780011469.82,6.181,2.392,3.617,8.547,187.57
1780011470.328,6.689,1.985,3.563,21.053,560.075
1780011470.833,7.194,2.084,3.714,21.667,888.946
1780011471.336,7.697,2.338,2.805,17.969,1229.408
1780011471.839,8.2,2.449,2.884,20.29,1532.637
1780011472.341,8.702,2.165,3.215,51.5,1799.937
1780011472.843,9.204,1.54,2.34,70.0,2001.382
1780011473.347,9.708,4.066,1.074,20.087,2182.231
1780011473.855,10.216,2.427,0.456,66.154,2313.505
1780011474.365,10.726,1.493,0.501,81.267,2324.825
1780011474.865,11.226,3.356,0.416,57.386,2323.451
1780011475.369,11.73,3.599,0.765,55.0,2323.531
1780011475.872,12.234,2.115,0.529,73.464,2323.674
1780011476.393,12.754,1.615,0.641,79.784,2324.718
1780011476.897,13.258,1.311,0.556,83.565,2325.492
1780011477.433,13.794,0.94,0.746,88.095,2325.255
1780011477.934,14.295,1.342,0.316,83.003,2324.141
1780011478.437,14.798,1.959,0.556,75.623,2321.808
1780011478.941,15.302,1.266,0.654,83.944,2319.504
1780011479.442,15.803,1.946,0.575,75.284,2320.152
1780011479.944,16.305,1.741,0.242,78.151,2323.965
1780011480.444,16.805,2.148,0.667,73.109,2324.484
1780011480.947,17.308,1.581,0.674,79.539,2323.505
1780011481.46,17.821,0.831,0.469,89.617,2323.528
1780011481.961,18.323,1.138,0.488,85.794,2323.283
1780011482.464,18.826,0.779,0.329,90.196,2323.54
1780011482.974,19.336,1.01,0.346,87.397,2323.247
1780011483.475,19.836,1.365,0.74,82.865,2321.837
1780011483.98,20.342,1.618,0.3,79.778,2321.11
1780011484.482,20.843,1.519,0.486,80.899,2322.148
1780011484.987,21.349,0.886,0.299,88.889,2324.548
1780011485.488,21.849,2.08,0.5,74.38,2323.552
1780011485.989,22.35,5.59,0.462,33.862,2300.884
1780011486.49,22.851,6.914,0.754,21.97,2269.706
1780011486.99,23.352,8.901,0.468,18.107,2140.865
1780011487.491,23.852,8.658,0.444,18.008,1961.698
1780011487.992,24.353,8.902,0.341,16.91,1797.322
1780011488.494,24.855,8.881,0.517,19.596,1614.223
1780011488.994,25.355,8.882,0.332,16.771,1434.763
1780011489.495,25.856,8.859,0.513,15.565,1272.104
1780011489.996,26.357,8.923,0.413,15.287,1102.957
1780011490.496,26.858,8.635,0.553,19.078,937.315
