timestamp,time_s,throughput_Mbps,jitter_ms,loss,delay_ms
1780140076.516,6.587,0.002,0.0,0.0,95.664
1780140077.016,7.087,6.895,0.032,22.418,51.738
1780140077.517,7.589,6.19,0.036,22.626,40.085
1780140078.019,8.091,6.559,0.033,17.647,40.066
1780140078.52,8.592,6.459,0.029,19.274,40.069
1780140079.022,9.093,6.548,0.025,18.156,40.052
1780140079.523,9.594,6.457,0.04,19.274,40.067
1780140080.024,10.095,6.682,0.021,16.48,40.062
1780140080.525,10.597,6.436,0.027,19.553,40.056
1780140081.026,11.098,6.458,0.02,19.274,40.056
1780140081.528,11.599,6.726,0.026,15.922,40.056
1780140082.03,12.101,6.269,0.029,21.067,40.091
1780140082.531,12.602,6.46,0.026,19.274,40.071
1780140083.032,13.103,6.434,0.029,19.553,40.071
1780140083.533,13.604,6.549,0.019,18.156,40.056
1780140084.034,14.106,6.658,0.02,16.76,40.063
1780140084.536,14.607,6.569,0.033,17.877,40.063
1780140085.037,15.108,6.505,0.018,18.715,40.057
1780140085.537,15.609,6.552,0.063,17.927,40.083
1780140086.039,16.11,6.526,0.016,18.436,40.06
1780140086.54,16.612,6.63,0.064,17.039,40.111
1780140087.042,17.113,6.436,0.033,19.553,40.056
1780140087.543,17.614,6.458,0.025,19.274,40.056
1780140088.044,18.115,6.815,0.021,14.804,40.06
1780140088.545,18.616,6.526,0.027,18.436,40.052
1780140089.046,19.118,6.726,0.023,15.922,40.06
1780140089.548,19.619,6.413,0.025,19.832,40.059
1780140090.05,20.121,6.529,0.031,18.384,40.06
1780140090.551,20.623,6.928,0.03,13.408,40.055
1780140091.053,21.124,6.324,0.031,20.95,40.06
1780140091.554,21.625,6.414,0.03,19.832,40.05
1780140092.054,22.125,6.759,0.033,14.93,40.099
1780140092.555,22.627,6.302,0.021,21.229,40.058
1780140093.056,23.128,6.682,0.021,16.48,40.063
1780140093.559,23.63,6.462,0.029,19.22,40.058
1780140094.06,24.132,6.368,0.032,20.391,40.059
1780140094.562,24.633,6.682,0.034,16.48,40.063
1780140095.063,25.134,6.638,0.017,17.039,40.059
