timestamp,time_s,throughput_Mbps,jitter_ms,loss,delay_ms
1780134459.977,5.588,0.002,0.0,0.0,96.779
1780134460.477,6.089,7.139,0.021,19.849,51.295
1780134460.978,6.59,6.681,0.038,16.48,40.05
1780134461.479,7.09,6.398,0.032,19.663,40.074
1780134461.98,7.592,6.346,0.039,20.67,40.072
1780134462.481,8.093,6.571,0.022,17.877,40.052
1780134462.983,8.594,6.57,0.037,17.877,40.055
1780134463.484,9.095,6.569,0.016,17.877,40.048
1780134463.985,9.596,6.704,0.019,16.201,40.035
1780134464.486,10.098,6.547,0.023,18.156,40.049
1780134464.987,10.599,6.637,0.013,17.039,40.053
1780134465.489,11.1,6.503,0.021,18.715,40.054
1780134465.99,11.601,6.503,0.018,18.715,40.049
1780134466.491,12.102,6.57,0.013,17.877,40.042
1780134466.995,12.606,6.311,0.024,21.111,40.061
1780134467.495,13.107,6.426,0.033,19.608,40.074
1780134467.997,13.608,6.792,0.024,15.084,40.07
1780134468.498,14.109,4.516,1.275,14.768,98.585
1780134468.999,14.611,3.905,1.145,15.459,314.691
1780134469.5,15.112,8.476,390.924,38.173,260.735
1780134470.001,15.612,9.707,1.558,0.0,272.15
1780134470.503,16.115,4.617,1.108,17.857,96.274
1780134471.005,16.616,3.772,1.153,21.395,299.142
1780134471.507,17.118,6.788,402.916,39.563,347.335
1780134472.007,17.619,6.442,6.84,0.0,450.6
1780134472.508,18.119,6.934,351.559,38.614,341.2
1780134473.009,18.621,6.304,4.747,0.0,440.017
1780134473.51,19.121,4.004,1.277,15.566,503.41
1780134474.012,19.623,3.794,1.562,19.431,707.121
1780134474.512,20.124,6.666,652.368,62.703,569.492
