timestamp,time_s,throughput_Mbps,jitter_ms,loss,delay_ms
1780133811.804,6.686,0.002,0.0,0.0,182.909
1780133812.306,7.187,7.485,0.047,27.174,55.171
1780133812.807,7.688,6.615,0.03,17.318,40.132
1780133813.309,8.19,4.062,0.991,20.175,126.981
1780133813.809,8.691,4.093,0.937,19.737,317.241
1780133814.314,9.195,6.043,201.969,40.481,366.107
1780133814.815,9.696,4.135,9.497,0.0,519.116
1780133815.316,10.197,3.712,562.745,73.482,518.698
1780133815.819,10.701,4.845,580.154,0.0,732.645
1780133816.32,11.202,6.979,722.093,48.087,963.353
1780133816.822,11.704,6.715,551.213,0.0,843.16
1780133817.323,12.204,6.621,767.661,50.749,957.072
1780133817.823,12.705,6.601,457.707,0.0,847.217
1780133818.324,13.205,6.802,635.142,10.324,953.28
1780133818.827,13.708,6.435,266.074,0.0,885.029
1780133819.329,14.21,4.798,88.208,0.0,1014.783
1780133819.83,14.711,8.837,816.444,56.689,636.491
1780133820.33,15.211,8.866,762.16,0.0,794.974
1780133820.831,15.712,9.707,237.983,4.194,650.618
1780133821.331,16.212,6.136,1.212,0.0,381.827
1780133821.836,16.717,4.256,1.027,17.241,492.963
1780133822.338,17.219,4.151,0.926,19.828,670.762
1780133822.838,17.72,5.55,408.892,66.756,671.759
1780133823.339,18.22,6.464,381.291,0.0,804.953
1780133823.841,18.722,7.629,243.336,3.933,912.277
1780133824.342,19.223,4.741,210.438,0.0,780.31
1780133824.842,19.724,5.706,860.748,70.383,846.967
1780133825.344,20.226,9.194,863.427,0.0,633.435
1780133825.845,20.726,8.699,731.269,0.0,806.929
1780133826.347,21.228,5.359,1.103,0.0,699.444
1780133826.848,21.729,7.917,0.371,19.545,560.841
1780133827.348,22.23,8.232,0.463,21.03,417.716
1780133827.849,22.73,8.433,0.35,17.865,269.374
1780133828.35,23.231,8.276,0.388,19.39,127.068
