timestamp,time_s,throughput_Mbps,jitter_ms,loss,delay_ms
1777650878.3433547,3.0,0.004,0,18,9.956
1777650878.4440885,3.1,8.783,0.345,0,2.876
1777650878.5448644,3.2,8.002,0.041,0,0.091
1777650878.6457322,3.3,7.995,0.051,0,0.1
1777650878.746606,3.4,7.994,0.062,0,0.127
1777650878.8473566,3.5,8.004,0.068,0,0.115
1777650878.948169,3.6,7.999,0.066,0,0.153
1777650879.0489893,3.7,7.999,0.058,0,0.112
1777650879.1497042,3.8,8.006,0.063,0,0.126
1777650879.2505815,3.9,7.995,0.066,0,0.124
1777650879.3513882,4.0,8.001,0.048,0,0.132
1777650879.4520602,4.1,8.008,0.061,0,0.133
1777650879.5528843,4.2,7.887,0.033,1,0.07
1777650879.6536932,4.3,8.0,0.068,0,0.149
1777650879.7544522,4.4,8.003,0.069,0,0.147
1777650879.8552785,4.6,7.998,0.083,0,0.14
1777650879.9561024,4.7,7.998,0.059,0,0.137
1777650880.0570388,4.8,7.99,0.055,0,0.14
1777650880.1577363,4.9,7.897,0.095,1,0.174
1777650880.2578716,5.0,7.94,0.09,0,0.161
1777650880.3586926,5.1,7.888,0.079,1,0.144
1777650880.459435,5.2,8.004,0.085,0,0.147
1777650880.560203,5.3,8.002,0.054,0,0.149
1777650880.6610909,5.4,7.994,0.086,0,0.172
1777650880.761867,5.5,8.002,0.088,0,0.163
1777650880.8628187,5.6,7.989,0.097,0,0.175
1777650880.9637423,5.7,7.99,0.083,0,0.162
1777650881.0641055,5.8,8.033,0.081,0,0.161
1777650881.164957,5.9,7.997,0.069,0,0.15
1777650881.265791,6.0,7.998,0.075,0,0.155
1777650881.366847,6.1,7.98,0.08,0,0.174
1777650881.467349,6.2,8.023,0.092,0,0.176
1777650881.5681317,6.3,7.778,0.073,2,0.139
1777650881.6690135,6.4,7.994,0.073,0,0.117
1777650881.7700036,6.5,7.986,0.069,0,0.135
1777650881.870591,6.6,8.016,0.058,0,0.142
1777650881.971419,6.7,7.998,0.088,0,0.164
1777650882.0722497,6.8,7.997,0.07,0,0.144
1777650882.1730065,6.9,8.004,0.075,0,0.121
1777650882.27387,7.0,7.995,0.072,0,0.161
1777650882.3747137,7.1,7.997,0.087,0,0.156
1777650882.4754345,7.2,8.006,0.07,0,0.158
1777650882.5762477,7.3,7.999,0.062,0,0.16
1777650882.6770332,7.4,8.001,0.077,0,0.144
1777650882.7779849,7.5,7.989,0.086,0,0.171
1777650882.8786256,7.6,8.012,0.062,0,0.135
1777650882.9796803,7.7,7.98,0.068,0,0.152
1777650883.0802398,7.8,7.907,0.089,1,0.169
1777650883.1811092,7.9,7.884,0.077,1,0.151
1777650883.281799,8.0,7.897,0.068,1,0.154
1777650883.3828452,8.1,7.981,0.065,0,0.158
1777650883.4834774,8.2,8.013,0.086,0,0.185
1777650883.5841296,8.3,7.9,0.084,1,0.139
1777650883.6850624,8.4,7.99,0.053,0,0.125
1777650883.7857969,8.5,7.894,0.076,1,0.144
1777650883.886577,8.6,8.001,0.066,0,0.104
1777650883.9873233,8.7,7.893,0.029,1,0.067
1777650884.0881891,8.8,7.996,0.032,0,0.072
1777650884.189003,8.9,7.998,0.053,0,0.1
1777650884.2897604,9.0,8.003,0.041,0,0.129
1777650884.3905559,9.1,8.001,0.054,0,0.118
1777650884.4914122,9.2,7.996,0.04,0,0.107
1777650884.59223,9.3,7.999,0.053,0,0.118
1777650884.6929307,9.4,8.007,0.038,0,0.113
1777650884.7932463,9.5,7.927,0.051,0,0.11
1777650884.8940387,9.6,8.001,0.046,0,0.092
1777650884.9950106,9.7,7.987,0.051,0,0.106
1777650885.0957363,9.8,8.006,0.056,0,0.124
1777650885.196603,9.9,7.995,0.038,0,0.102
1777650885.2973006,10.0,8.007,0.069,0,0.135
1777650885.3981693,10.1,7.995,0.048,0,0.134
1777650885.4989574,10.2,8.001,0.042,0,0.114
1777650885.5998251,10.3,7.994,0.056,0,0.132
1777650885.7005036,10.4,7.898,0.04,1,0.108
1777650885.8012784,10.5,8.002,0.047,0,0.11
1777650885.9020452,10.6,8.002,0.033,0,0.089
1777650886.0029209,10.7,7.994,0.054,0,0.092
1777650886.1036208,10.8,8.008,0.047,0,0.081
1777650886.20451,10.9,7.993,0.032,0,0.067
1777650886.3053505,11.0,7.997,0.05,0,0.107
1777650886.4061453,11.1,8.0,0.065,0,0.127
1777650886.5069377,11.2,8.0,0.045,0,0.116
1777650886.6076672,11.3,8.005,0.047,0,0.123
1777650886.7086425,11.4,7.987,0.059,0,0.115
1777650886.8093467,11.5,8.008,0.054,0,0.13
1777650886.910138,11.6,8.001,0.041,0,0.107
1777650887.010842,11.7,8.007,0.071,0,0.125
1777650887.1116574,11.8,7.999,0.029,0,0.066
1777650887.2125154,11.9,7.996,0.035,0,0.076
1777650887.3132505,12.0,8.004,0.03,0,0.075
1777650887.4141462,12.1,7.993,0.058,0,0.114
1777650887.514954,12.2,8.0,0.054,0,0.118
1777650887.6156633,12.3,8.008,0.048,0,0.112
1777650887.716505,12.4,7.996,0.042,0,0.105
1777650887.81743,12.5,7.99,0.039,0,0.124
1777650887.9181435,12.6,8.007,0.042,0,0.124
1777650888.0188267,12.7,8.008,0.043,0,0.115
1777650888.1197286,12.8,7.993,0.05,0,0.097
1777650888.2205553,12.9,7.999,0.066,0,0.118
