timestamp,time_s,throughput_Mbps,jitter_ms,loss,delay_ms
1777650894.2812307,3.0,0.004,0,0,0.135
1777650894.382053,3.1,6.887,0.284,1,0.464
1777650894.4828424,3.2,7.001,0.036,0,0.135
1777650894.5836995,3.3,6.996,0.045,0,0.139
1777650894.68459,3.4,6.994,0.058,0,0.129
1777650894.7853813,3.5,7.001,0.058,0,0.127
1777650894.8864133,3.6,6.984,0.057,0,0.126
1777650894.986908,3.7,7.022,0.041,0,0.099
1777650895.0875618,3.8,7.009,0.055,0,0.125
1777650895.188431,3.9,6.996,0.044,0,0.112
1777650895.2892,4.0,7.002,0.039,0,0.124
1777650895.3900046,4.1,7.0,0.051,0,0.118
1777650895.4909632,4.2,6.768,0.04,2,0.115
1777650895.591641,4.3,7.008,0.037,0,0.083
1777650895.6926444,4.4,6.877,0.091,1,0.152
1777650895.7933204,4.5,7.008,0.036,0,0.131
1777650895.8941352,4.6,6.998,0.06,0,0.107
1777650895.9948368,4.7,7.007,0.053,0,0.112
1777650896.0955641,4.8,6.892,0.036,1,0.103
1777650896.1965091,4.9,6.991,0.035,0,0.092
1777650896.2972105,5.0,6.895,0.049,1,0.121
1777650896.3975842,5.1,6.137,0.252,0,1.451
1777650896.4981003,5.2,4.569,0.983,0,34.361
1777650896.5987837,5.3,5.673,0.606,1,56.103
1777650896.699529,5.4,5.781,0.62,0,73.872
1777650896.8011324,5.5,5.732,0.625,0,91.398
1777650896.9025507,5.6,5.742,0.76,0,109.973
1777650897.0041044,5.7,5.624,0.646,0,129.461
1777650897.1045659,5.8,7.582,0.534,1,140.329
1777650897.205992,5.9,7.177,0.541,0,120.922
1777650897.3075206,6.0,4.965,0.828,0,137.091
1777650897.407857,6.1,4.353,1.043,0,178.127
1777650897.5083003,6.2,7.695,2.249,0,152.523
1777650897.6098363,6.3,3.971,1.177,1,87.495
1777650897.711282,6.4,5.52,0.663,0,120.026
1777650897.8117006,6.5,5.912,0.596,0,138.799
1777650897.9143925,6.6,9.272,0.489,1,125.025
1777650898.0160084,6.7,4.077,1.342,0,132.224
1777650898.1162918,6.8,5.472,0.695,0,167.589
1777650898.2385845,7.0,3.755,1.798,0,176.703
1777650898.338905,7.1,6.81,2.102,0,140.014
1777650898.4404526,7.2,7.169,0.556,0,128.083
1777650898.542035,7.3,5.734,0.636,0,142.846
1777650898.6424515,7.4,5.911,0.717,0,165.652
1777650898.7555513,7.5,3.169,2.217,0,174.561
