timestamp,time_s,throughput_Mbps,jitter_ms,loss,delay_ms
1777650913.289854,3.0,0.004,0,19,0.241
1777650913.390444,3.1,6.012,0.316,0,0.471
1777650913.4913383,3.2,5.995,0.038,0,0.134
1777650913.592149,3.3,5.999,0.054,0,0.143
1777650913.6931558,3.4,5.989,0.051,0,0.13
1777650913.7936919,3.5,6.015,0.06,0,0.138
1777650913.894808,3.6,5.981,0.053,0,0.128
1777650913.995539,3.7,6.004,0.057,0,0.156
1777650914.096359,3.8,5.999,0.058,0,0.145
1777650914.1969705,3.9,6.011,0.057,0,0.141
1777650914.2977116,4.0,6.002,0.041,0,0.122
1777650914.3985293,4.1,6.0,0.06,0,0.154
1777650914.4994774,4.2,5.991,0.053,0,0.152
1777650914.6003258,4.3,5.998,0.05,0,0.15
1777650914.70095,4.4,6.01,0.051,0,0.125
1777650914.8017933,4.5,5.997,0.051,0,0.145
1777650914.9025226,4.6,6.005,0.047,0,0.137
1777650915.0033581,4.7,5.997,0.056,0,0.147
1777650915.104186,4.9,5.999,0.042,0,0.139
1777650915.2048986,5.0,6.005,0.04,0,0.112
1777650915.305753,5.1,5.997,0.052,0,0.138
1777650915.406517,5.2,6.002,0.052,0,0.141
1777650915.5073063,5.3,6.0,0.042,0,0.116
1777650915.6081715,5.4,5.997,0.033,0,0.088
1777650915.7089672,5.5,6.0,0.055,0,0.118
1777650915.8097186,5.6,6.004,0.048,0,0.127
1777650915.910563,5.7,5.886,0.049,1,0.141
1777650916.0113845,5.8,6.0,0.045,0,0.141
1777650916.1121316,5.9,6.001,0.066,0,0.129
1777650916.2130654,6.0,5.77,0.038,2,0.129
1777650916.3137527,6.1,5.895,0.044,1,0.116
1777650916.4145098,6.2,6.003,0.065,0,0.161
1777650916.5155404,6.3,5.986,0.051,0,0.151
1777650916.6161625,6.4,6.011,0.046,0,0.153
1777650916.7168953,6.5,6.004,0.059,0,0.129
1777650916.818045,6.6,5.979,0.034,0,0.116
1777650916.9189386,6.7,5.995,0.059,0,0.139
1777650917.019824,6.8,5.995,0.057,0,0.155
1777650917.120519,6.9,6.006,0.056,0,0.15
1777650917.2213569,7.0,5.997,0.046,0,0.128
1777650917.3221376,7.1,6.002,0.04,0,0.122
1777650917.422948,7.2,6.0,0.049,0,0.146
1777650917.5236187,7.3,6.007,0.04,0,0.122
1777650917.6245823,7.4,5.991,0.051,0,0.147
1777650917.725303,7.5,6.004,0.042,0,0.12
1777650917.8260422,7.6,6.003,0.05,0,0.146
1777650917.9270167,7.7,5.99,0.051,0,0.143
1777650918.0276952,7.8,6.007,0.069,0,0.153
1777650918.128435,7.9,5.892,0.044,1,0.109
1777650918.2293017,8.0,5.997,0.052,0,0.115
1777650918.3301237,8.1,5.999,0.041,0,0.105
1777650918.431047,8.2,5.994,0.048,0,0.132
1777650918.5317085,8.3,5.896,0.056,1,0.159
1777650918.6326003,8.4,5.994,0.067,0,0.141
1777650918.733278,8.5,6.007,0.044,0,0.14
1777650918.8340173,8.6,6.004,0.04,0,0.112
1777650918.934957,8.7,5.992,0.055,0,0.157
1777650919.035711,8.8,6.003,0.051,0,0.16
1777650919.1365402,8.9,5.998,0.062,0,0.14
1777650919.2373335,9.0,6.0,0.043,0,0.121
1777650919.3381586,9.1,5.999,0.029,0,0.102
1777650919.4390798,9.2,5.993,0.066,0,0.167
1777650919.5397418,9.3,6.008,0.048,0,0.139
1777650919.6406412,9.4,5.883,0.051,1,0.134
1777650919.7413118,9.5,6.007,0.036,0,0.12
1777650919.842301,9.6,5.99,0.039,0,0.091
1777650919.9430232,9.7,6.005,0.044,0,0.126
1777650920.0437496,9.8,6.004,0.061,0,0.153
1777650920.1445413,9.9,6.001,0.05,0,0.142
1777650920.245318,10.0,6.0,0.047,0,0.111
1777650920.3462226,10.1,5.994,0.049,0,0.131
1777650920.4468977,10.2,6.008,0.047,0,0.127
1777650920.547791,10.3,5.995,0.049,0,0.132
1777650920.6485014,10.4,6.005,0.048,0,0.136
1777650920.7492335,10.5,6.003,0.041,0,0.116
1777650920.8500733,10.6,5.998,0.043,0,0.134
1777650920.951022,10.7,5.992,0.058,0,0.165
1777650921.0517313,10.8,6.005,0.064,0,0.15
1777650921.152599,10.9,5.996,0.068,0,0.157
1777650921.2531996,11.0,6.011,0.061,0,0.149
