timestamp,time_s,throughput_Mbps,jitter_ms,loss,delay_ms
1777650927.2402585,3.0,0.004,0,0,0.192
1777650927.3411012,3.1,5.998,0.038,0,0.124
1777650927.4418192,3.2,5.893,0.038,1,0.117
1777650927.5426574,3.3,5.998,0.048,0,0.143
1777650927.6435864,3.4,5.993,0.058,0,0.15
1777650927.7442532,3.5,6.007,0.049,0,0.154
1777650927.8450649,3.6,5.888,0.051,1,0.136
1777650927.9458845,3.7,5.999,0.037,0,0.112
1777650928.046682,3.8,6.0,0.046,0,0.139
1777650928.147504,3.9,5.888,0.043,1,0.136
1777650928.248456,4.0,5.99,0.05,0,0.126
1777650928.3499649,4.1,5.406,0.478,0,5.19
1777650928.4505017,4.2,5.348,0.498,0,15.837
1777650928.55083,4.3,5.358,0.544,0,26.435
1777650928.652279,4.4,5.41,0.488,0,37.081
1777650928.753827,4.5,5.625,0.697,0,44.567
1777650928.8542323,4.6,5.354,0.483,0,53.806
1777650928.9545681,4.7,6.028,0.553,2,61.844
1777650929.056111,4.8,5.074,0.687,1,62.651
1777650929.1564474,4.9,5.358,0.49,0,73.832
1777650929.2580233,5.0,5.956,0.783,0,74.155
1777650929.3584216,5.1,5.353,0.499,0,85.338
1777650929.4586954,5.2,6.924,0.605,0,90.18
1777650929.5602243,5.3,4.744,0.796,0,88.387
1777650929.6617815,5.4,5.294,0.489,1,101.854
1777650929.7624493,5.5,6.564,0.772,0,93.976
1777650929.8635027,5.6,8.422,69.631,1417,61.859
1777650929.9636629,5.7,8.052,39.163,745,26.2
1777650930.0644684,5.8,6.0,0.036,0,0.114
1777650930.1651955,5.9,6.004,0.034,0,0.096
1777650930.2660584,6.0,5.996,0.043,0,0.12
1777650930.3667765,6.1,6.005,0.048,0,0.134
1777650930.467505,6.2,6.004,0.023,0,0.073
1777650930.56832,6.3,5.999,0.04,0,0.127
1777650930.6690807,6.4,6.002,0.045,0,0.105
1777650930.7700133,6.5,5.881,0.057,1,0.123
1777650930.870712,6.6,6.006,0.036,0,0.087
1777650930.9719527,6.7,5.974,0.042,0,0.109
1777650931.0722961,6.8,6.027,0.043,0,0.116
1777650931.1732535,6.9,5.991,0.032,0,0.099
1777650931.2738607,7.0,6.011,0.055,0,0.103
1777650931.374757,7.1,5.995,0.031,0,0.087
1777650931.4755712,7.2,5.999,0.045,0,0.119
1777650931.5764213,7.3,5.998,0.04,0,0.118
1777650931.6773098,7.4,5.994,0.055,0,0.137
1777650931.7779148,7.5,6.011,0.028,0,0.087
1777650931.8788047,7.6,5.995,0.029,0,0.109
1777650931.9795384,7.7,6.004,0.034,0,0.095
1777650932.0803065,7.8,6.002,0.038,0,0.099
1777650932.1811464,7.9,5.998,0.039,0,0.11
1777650932.2819464,8.1,5.889,0.04,1,0.101
1777650932.3828228,8.2,5.996,0.045,0,0.124
1777650932.4834766,8.3,5.897,0.051,1,0.098
1777650932.5843568,8.4,5.995,0.035,0,0.1
1777650932.6852834,8.5,5.993,0.052,0,0.113
1777650932.7860048,8.6,6.004,0.056,0,0.131
1777650932.8866875,8.7,6.007,0.04,0,0.141
1777650932.987606,8.8,5.993,0.055,0,0.118
1777650933.0883198,8.9,6.005,0.045,0,0.105
1777650933.1890998,9.0,6.001,0.032,0,0.087
1777650933.2899086,9.1,5.999,0.038,0,0.122
1777650933.3907452,9.2,5.998,0.037,0,0.105
1777650933.4915235,9.3,6.001,0.031,0,0.089
1777650933.5923529,9.4,5.999,0.039,0,0.108
1777650933.6931922,9.5,5.998,0.043,0,0.098
1777650933.793972,9.6,6.001,0.081,0,0.148
1777650933.8947816,9.7,6.0,0.042,0,0.093
1777650933.995465,9.8,6.006,0.045,0,0.105
1777650934.0963988,9.9,5.993,0.04,0,0.107
1777650934.197147,10.0,6.003,0.044,0,0.119
1777650934.2980218,10.1,5.996,0.029,0,0.095
1777650934.3988705,10.2,5.997,0.03,0,0.098
1777650934.4995058,10.3,6.009,0.05,0,0.108
1777650934.6003494,10.4,5.998,0.042,0,0.109
1777650934.7012324,10.5,5.996,0.047,0,0.122
1777650934.8019862,10.6,6.002,0.044,0,0.096
1777650934.9027534,10.7,6.002,0.046,0,0.132
1777650935.0034943,10.8,6.003,0.035,0,0.11
1777650935.1043825,10.9,5.885,0.032,1,0.098
1777650935.2051504,11.0,6.001,0.035,0,0.1
1777650935.3059769,11.1,5.999,0.04,0,0.107
1777650935.4067316,11.2,6.002,0.031,0,0.094
1777650935.5075428,11.3,6.0,0.061,0,0.111
1777650935.607718,11.4,5.925,0.102,0,0.161
1777650935.7085793,11.5,5.997,0.04,0,0.107
1777650935.809439,11.6,5.996,0.028,0,0.082
1777650935.9102075,11.7,6.002,0.036,0,0.103
1777650936.0109463,11.8,6.003,0.053,0,0.113
1777650936.1117957,11.9,5.998,0.031,0,0.099
1777650936.2125602,12.0,5.891,0.04,1,0.118
1777650936.3134696,12.1,5.993,0.044,0,0.12
1777650936.4141564,12.2,6.006,0.048,0,0.111
1777650936.5149426,12.3,6.0,0.038,0,0.127
1777650936.6158495,12.4,5.995,0.052,0,0.148
1777650936.7168517,12.5,5.988,0.049,0,0.165
1777650936.8174355,12.6,6.012,0.047,0,0.137
1777650936.918221,12.7,6.002,0.048,0,0.146
1777650937.0189633,12.8,6.002,0.049,0,0.135
1777650937.1197903,12.9,5.887,0.048,1,0.109
1777650937.2206552,13.0,5.996,0.038,0,0.12
1777650937.3215027,13.1,5.886,0.048,1,0.137
1777650937.4222596,13.2,6.003,0.103,0,0.155
1777650937.5230281,13.3,6.002,0.061,0,0.155
1777650937.6237993,13.4,5.89,0.04,1,0.1
1777650937.724571,13.5,6.002,0.038,0,0.123
1777650937.825419,13.6,5.997,0.05,0,0.145
1777650937.926272,13.7,5.997,0.06,0,0.15
1777650938.0271366,13.8,5.997,0.044,0,0.138
1777650938.1277325,13.9,5.899,0.108,1,0.135
1777650938.2285829,14.0,5.886,0.05,1,0.103
1777650938.3296182,14.1,5.986,0.055,0,0.139
1777650938.4302497,14.2,6.01,0.06,0,0.147
1777650938.5310242,14.3,6.002,0.049,0,0.122
1777650938.6318336,14.4,5.999,0.032,0,0.121
1777650938.7326262,14.5,6.0,0.05,0,0.127
