timestamp,time_s,throughput_Mbps,jitter_ms,loss,delay_ms
1777650947.2909262,4.5,0.002,0,0,0.105
1777650947.3918562,4.6,5.993,0.048,0,0.117
1777650947.4926755,4.7,5.998,0.049,0,0.147
1777650947.5934727,4.8,6.0,0.067,0,0.143
1777650947.6941314,4.9,6.008,0.034,0,0.115
1777650947.7949736,5.0,5.998,0.038,0,0.096
1777650947.895954,5.1,5.99,0.044,0,0.119
1777650947.9966347,5.2,6.006,0.046,0,0.127
1777650948.0973773,5.3,6.003,0.054,0,0.152
1777650948.1981885,5.4,6.0,0.047,0,0.122
1777650948.299099,5.5,5.994,0.035,0,0.104
1777650948.3998718,5.6,6.001,0.043,0,0.12
1777650948.5005922,5.7,6.005,0.046,0,0.142
1777650948.6014268,5.8,5.998,0.056,0,0.145
1777650948.7022395,5.9,5.999,0.059,0,0.154
1777650948.802986,6.0,6.003,0.046,0,0.128
1777650948.903783,6.1,6.0,0.048,0,0.139
1777650949.004537,6.2,6.002,0.057,0,0.141
1777650949.1053443,6.3,5.999,0.044,0,0.13
1777650949.206169,6.4,5.999,0.04,0,0.117
1777650949.307081,6.5,5.994,0.049,0,0.126
1777650949.4077563,6.6,6.008,0.049,0,0.135
1777650949.5086372,6.7,5.995,0.042,0,0.135
1777650949.609468,6.8,5.998,0.054,0,0.134
1777650949.7103214,6.9,5.997,0.105,0,0.17
1777650949.81101,7.0,6.006,0.055,0,0.119
1777650949.9118083,7.1,6.0,0.039,0,0.098
1777650950.012756,7.2,5.991,0.067,0,0.147
1777650950.1134565,7.3,5.895,0.058,1,0.162
1777650950.2141857,7.4,6.004,0.062,0,0.146
1777650950.314977,7.5,6.0,0.047,0,0.123
1777650950.4158468,7.6,5.997,0.048,0,0.134
1777650950.5166693,7.7,5.998,0.055,0,0.141
1777650950.617447,7.8,5.89,0.055,1,0.139
1777650950.718247,7.9,5.999,0.06,0,0.149
1777650950.8189278,8.0,6.006,0.046,0,0.117
1777650950.9197943,8.1,5.997,0.074,0,0.114
1777650951.020664,8.2,5.996,0.051,0,0.162
1777650951.121505,8.3,5.997,0.043,0,0.131
1777650951.2222116,8.4,6.006,0.052,0,0.137
1777650951.3229983,8.5,6.001,0.047,0,0.12
1777650951.423933,8.6,5.992,0.075,0,0.169
1777650951.5246754,8.7,6.003,0.059,0,0.139
1777650951.6254494,8.8,6.002,0.04,0,0.129
1777650951.7263007,8.9,5.997,0.047,0,0.126
1777650951.8270504,9.0,6.002,0.039,0,0.129
1777650951.9277754,9.2,6.004,0.05,0,0.129
1777650952.0285468,9.3,6.002,0.043,0,0.13
1777650952.129426,9.4,5.995,0.035,0,0.115
1777650952.230433,9.5,5.988,0.056,0,0.138
1777650952.3312263,9.6,6.0,0.053,0,0.12
1777650952.4318843,9.7,6.008,0.062,0,0.167
1777650952.5326827,9.8,6.001,0.048,0,0.144
1777650952.6333942,9.9,6.006,0.044,0,0.132
1777650952.734234,10.0,5.999,0.048,0,0.149
1777650952.835081,10.1,5.995,0.052,0,0.14
1777650952.9357507,10.2,5.896,0.059,1,0.146
1777650953.036602,10.3,5.997,0.045,0,0.13
1777650953.1374288,10.4,5.999,0.06,0,0.144
1777650953.2382097,10.5,6.001,0.1,0,0.147
1777650953.3389585,10.6,6.003,0.047,0,0.113
1777650953.4399395,10.7,5.99,0.063,0,0.151
1777650953.540617,10.8,6.007,0.057,0,0.151
1777650953.6414056,10.9,6.001,0.049,0,0.132
1777650953.7421753,11.0,6.001,0.044,0,0.137
1777650953.8430648,11.1,5.996,0.072,0,0.135
1777650953.9437351,11.2,6.007,0.059,0,0.15
1777650954.0464823,11.3,5.778,0.041,2,0.137
1777650954.1472464,11.4,6.002,0.311,0,0.454
1777650954.248079,11.5,5.887,0.044,1,0.131
1777650954.3489165,11.6,5.998,0.087,0,0.147
1777650954.4496953,11.7,6.001,0.053,0,0.164
1777650954.5504978,11.8,6.0,0.05,0,0.164
1777650954.651341,11.9,5.997,0.051,0,0.14
1777650954.7521887,12.0,5.998,0.049,0,0.138
1777650954.8529358,12.1,6.002,0.044,0,0.13
1777650954.953603,12.2,6.008,0.06,0,0.146
1777650955.0545802,12.3,5.99,0.066,0,0.167
1777650955.155402,12.4,6.0,0.054,0,0.161
1777650955.2561338,12.5,6.003,0.083,0,0.163
1777650955.3569221,12.6,6.0,0.063,0,0.155
1777650955.4577549,12.7,5.999,0.043,0,0.155
1777650955.558534,12.8,6.001,0.049,0,0.151
1777650955.6593068,12.9,6.002,0.043,0,0.149
1777650955.7600834,13.0,6.002,0.065,0,0.156
1777650955.862737,13.1,5.673,0.048,3,0.14
1777650955.9636621,13.2,5.993,0.322,0,0.491
1777650956.064345,13.3,6.007,0.041,0,0.138
1777650956.1651127,13.4,6.002,0.053,0,0.14
1777650956.2659683,13.5,5.996,0.052,0,0.137
1777650956.366639,13.6,6.007,0.039,0,0.116
1777650956.4675827,13.7,5.995,0.043,0,0.101
1777650956.5681589,13.8,5.898,0.109,0,0.156
1777650956.6689074,13.9,6.003,0.041,0,0.127
1777650956.7697487,14.0,5.997,0.038,0,0.134
1777650956.8705451,14.1,6.0,0.059,0,0.139
1777650956.9712968,14.2,6.003,0.055,0,0.118
1777650957.07218,14.3,5.995,0.06,0,0.151
1777650957.173049,14.4,5.997,0.039,0,0.125
1777650957.2737956,14.5,6.003,0.059,0,0.15
1777650957.3744903,14.6,6.006,0.04,0,0.119
1777650957.4754822,14.7,5.989,0.057,0,0.158
1777650957.5762622,14.8,6.001,0.042,0,0.136
1777650957.677193,14.9,5.993,0.064,0,0.151
1777650957.777884,15.0,6.006,1.227,0,5.69
1777650957.8785274,15.1,6.009,0.046,0,0.144
1777650957.979592,15.2,5.985,0.04,0,0.118
1777650958.0801764,15.3,6.013,0.044,0,0.143
1777650958.1810055,15.4,5.998,0.052,0,0.104
1777650958.281901,15.5,5.995,0.028,0,0.079
1777650958.3825002,15.6,6.011,0.037,0,0.076
1777650958.4834015,15.7,5.994,0.079,0,0.109
1777650958.5842285,15.8,5.998,0.04,0,0.124
1777650958.6850064,15.9,6.002,0.033,0,0.082
1777650958.7857616,16.0,6.003,0.04,0,0.093
1777650958.8864772,16.1,6.005,0.046,0,0.094
1777650958.9872985,16.2,5.998,0.051,0,0.099
1777650959.0881069,16.3,6.0,0.035,0,0.083
1777650959.188931,16.4,5.998,0.032,0,0.074
1777650959.289854,16.5,5.994,0.043,0,0.105
