timestamp,time_s,throughput_Mbps,jitter_ms,loss,delay_ms
1777515711.9757073,6.1,0.002,0,0,44.188
1777515712.0757713,6.2,8.838,0.648,24,3.803
1777515712.1765587,6.3,8.001,0.028,0,0.055
1777515712.277387,6.4,7.998,0.024,0,0.054
1777515712.3781736,6.5,7.89,0.029,1,0.054
1777515712.4789824,6.6,7.888,0.027,1,0.05
1777515712.5797527,6.7,8.002,0.027,0,0.053
1777515712.6806064,6.8,7.885,0.021,1,0.044
1777515712.7813804,6.9,7.89,0.024,1,0.044
1777515712.8821793,7.0,8.0,0.022,0,0.044
1777515712.9829795,7.1,8.0,0.038,0,0.051
1777515713.0838404,7.2,7.996,0.027,0,0.049
1777515713.1849067,7.3,7.98,0.06,0,0.098
1777515713.285399,7.4,8.023,0.105,0,0.107
1777515713.3864806,7.5,7.979,0.079,0,0.132
1777515713.4872637,7.6,8.001,0.059,0,0.114
1777515713.587848,7.7,8.017,0.088,0,0.119
1777515713.688936,7.8,7.978,0.063,0,0.152
1777515713.7894466,7.9,8.022,0.107,0,0.154
1777515713.8902524,8.0,7.998,0.043,0,0.065
1777515713.9910824,8.1,7.999,0.052,0,0.108
1777515714.0913522,8.2,7.595,0.073,0,0.142
1777515714.19215,8.3,8.001,0.067,0,0.131
1777515714.293143,8.4,7.986,0.1,0,0.178
1777515714.3940504,8.5,7.992,0.114,0,0.188
1777515714.4945586,8.6,8.022,0.087,0,0.115
1777515714.595265,8.7,8.007,0.096,0,0.135
1777515714.6960616,8.8,8.0,0.1,0,0.11
1777515714.7969162,8.9,7.996,0.098,0,0.115
1777515714.8980389,9.0,7.975,0.079,0,0.135
1777515714.998558,9.1,7.91,0.079,1,0.121
1777515715.0992737,9.2,8.007,0.052,0,0.108
1777515715.2003257,9.3,7.98,0.119,0,0.166
1777515715.3010452,9.4,8.006,0.096,0,0.127
1777515715.4016588,9.5,8.013,0.134,0,0.15
1777515715.5025592,9.6,7.882,0.059,1,0.125
1777515715.6033738,9.7,7.888,0.106,1,0.185
1777515715.7041602,9.8,8.001,0.123,0,0.176
1777515715.8048692,9.9,8.007,0.106,0,0.127
1777515715.9056282,10.0,7.891,0.03,1,0.06
1777515716.0065153,10.1,7.993,0.027,0,0.058
1777515716.1072457,10.2,7.894,0.053,1,0.073
1777515716.2081635,10.3,7.992,0.066,0,0.133
1777515716.3087745,10.4,8.014,0.078,0,0.13
1777515716.4100103,10.5,7.857,0.05,1,0.084
1777515716.5104344,10.6,7.917,0.034,1,0.07
1777515716.6112387,10.7,8.0,0.038,0,0.082
1777515716.7120628,10.8,7.998,0.079,0,0.091
1777515716.8127723,10.9,8.007,0.03,0,0.045
1777515716.9136422,11.0,7.994,0.021,0,0.039
1777515717.0144665,11.1,7.998,0.04,0,0.079
1777515717.1152277,11.2,8.003,0.042,0,0.055
1777515717.2159774,11.3,8.004,0.021,0,0.041
1777515717.3167746,11.4,8.0,0.03,0,0.043
1777515717.4176672,11.5,7.993,0.018,0,0.036
1777515717.518389,11.6,8.006,0.024,0,0.044
1777515717.619266,11.7,7.994,0.02,0,0.046
1777515717.7200449,11.8,8.001,0.022,0,0.038
1777515717.821012,11.9,7.989,0.026,0,0.049
1777515717.921636,12.0,8.012,0.042,0,0.062
1777515718.0224242,12.1,8.001,0.03,0,0.061
1777515718.123238,12.2,7.888,0.024,1,0.059
1777515718.224036,12.3,8.0,0.023,0,0.046
1777515718.3247836,12.4,7.893,0.033,1,0.045
1777515718.425705,12.5,7.99,0.026,0,0.052
1777515718.5264344,12.6,8.006,0.016,0,0.041
1777515718.6272337,12.7,8.0,0.023,0,0.042
1777515718.7280426,12.8,7.999,0.033,0,0.055
1777515718.8287709,12.9,8.006,0.023,0,0.042
1777515718.9296494,13.0,7.994,0.021,0,0.041
1777515719.0304582,13.1,7.999,0.018,0,0.036
1777515719.1312034,13.2,8.004,0.035,0,0.048
1777515719.2323067,13.3,7.978,0.051,0,0.092
1777515719.3327703,13.4,7.913,0.056,1,0.088
1777515719.433869,13.5,7.977,0.021,0,0.035
1777515719.5344298,13.6,8.019,0.024,0,0.041
1777515719.6351898,13.7,8.003,0.045,0,0.057
1777515719.736131,13.8,7.879,0.021,1,0.047
1777515719.837121,13.9,7.986,0.068,0,0.131
1777515719.9376514,14.0,8.02,0.051,0,0.068
1777515720.038556,14.1,7.993,0.023,0,0.052
1777515720.1392195,14.2,8.01,0.026,0,0.061
1777515720.240122,14.3,7.992,0.051,0,0.08
1777515720.3408184,14.4,8.009,0.047,0,0.087
1777515720.441635,14.5,7.998,0.023,0,0.053
1777515720.5424378,14.6,8.0,0.026,0,0.05
1777515720.6432836,14.7,7.997,1.407,0,12.854
1777515720.7440445,14.8,8.003,0.013,0,0.041
1777515720.8448107,14.9,8.003,0.022,0,0.048
1777515720.9456086,15.0,8.0,0.025,0,0.044
1777515721.0464256,15.1,7.999,0.031,0,0.058
1777515721.1472342,15.2,7.999,0.039,0,0.063
1777515721.2480495,15.3,7.999,0.036,0,0.059
1777515721.3488932,15.4,7.998,0.029,0,0.059
1777515721.4496298,15.5,8.004,0.019,0,0.041
1777515721.5504322,15.6,8.0,0.028,0,0.045
1777515721.6513062,15.7,7.994,0.024,0,0.041
1777515721.752033,15.8,8.006,0.028,0,0.042
1777515721.8528059,15.9,8.002,0.024,0,0.053
1777515721.9536798,16.0,7.995,0.023,0,0.041
1777515722.0544548,16.1,7.89,0.016,1,0.04
1777515722.1552439,16.2,8.001,0.032,0,0.046
1777515722.2560482,16.3,8.0,0.02,0,0.04
1777515722.356809,16.4,8.003,0.034,0,0.057
1777515722.4576697,16.5,7.995,0.049,0,0.107
1777515722.5584328,16.6,8.003,0.034,0,0.049
1777515722.6592271,16.7,8.0,0.02,0,0.048
1777515722.760031,16.8,8.0,0.031,0,0.053
1777515722.8608105,16.9,8.002,0.017,0,0.038
1777515722.96166,17.0,7.774,0.027,2,0.04
1777515723.0625448,17.1,7.994,0.024,0,0.061
1777515723.1633463,17.2,8.0,0.087,0,0.156
1777515723.264156,17.3,7.777,0.042,2,0.087
1777515723.3647718,17.4,8.014,0.04,0,0.047
1777515723.4657283,17.5,7.988,0.022,0,0.036
1777515723.56647,17.6,7.894,0.073,1,0.079
1777515723.6674387,17.7,7.987,0.05,0,0.106
1777515723.7681472,17.8,7.896,0.062,1,0.108
1777515723.868948,17.9,8.0,0.064,0,0.101
1777515723.9696379,18.0,8.007,0.052,0,0.075
1777515724.070411,18.1,8.002,0.019,0,0.047
1777515724.1712854,18.2,7.994,0.032,0,0.062
1777515724.2721586,18.3,7.995,0.071,0,0.12
1777515724.3728075,18.4,8.011,0.054,0,0.067
1777515724.47363,18.5,7.998,0.026,0,0.047
1777515724.5744755,18.6,7.997,0.064,0,0.086
1777515724.6752427,18.8,7.891,0.098,1,0.158
1777515724.776097,18.9,7.996,0.062,0,0.12
1777515724.8767717,19.0,8.01,0.033,0,0.045
1777515724.9776444,19.1,7.994,0.028,0,0.04
1777515725.0784576,19.2,8.0,0.025,0,0.043
1777515725.1794286,19.3,7.877,0.05,1,0.114
1777515725.2801924,19.4,8.002,0.068,0,0.131
1777515725.3809621,19.5,8.003,0.088,0,0.157
1777515725.4816456,19.6,7.897,0.044,1,0.092
1777515725.582428,19.7,8.0,0.033,0,0.05
1777515725.683216,19.8,8.001,0.023,0,0.047
1777515725.784031,19.9,7.999,0.026,0,0.041
1777515725.8851116,20.0,7.758,0.041,2,0.077
1777515725.985631,20.1,8.02,0.056,0,0.074
1777515726.0864275,20.2,8.0,0.02,0,0.047
1777515726.18724,20.3,7.999,0.022,0,0.044
1777515726.288106,20.4,7.996,0.038,0,0.074
1777515726.3887966,20.5,8.008,0.072,0,0.107
1777515726.4896646,20.6,7.994,0.026,0,0.064
1777515726.5903752,20.7,8.007,0.031,0,0.05
1777515726.6912203,20.8,7.774,0.04,0,0.081
1777515726.791996,20.9,7.891,0.026,1,0.05
1777515726.892925,21.0,7.991,0.031,0,0.061
