timestamp,time_s,throughput_Mbps,jitter_ms,loss,delay_ms
1777515735.3314226,6.0,0.002,0,0,0.159
1777515735.4322925,6.1,6.996,0.316,0,0.53
1777515735.5332744,6.2,6.988,0.06,0,0.152
1777515735.633983,6.3,6.895,0.064,1,0.155
1777515735.7349837,6.4,6.986,0.086,0,0.162
1777515735.8356943,6.5,7.006,0.08,0,0.2
1777515735.9361758,6.6,7.02,0.102,0,0.162
1777515736.0372555,6.7,6.983,0.068,0,0.135
1777515736.1379032,6.8,6.898,0.078,1,0.182
1777515736.238904,6.9,6.987,0.08,0,0.119
1777515736.3395023,7.0,7.014,0.092,0,0.186
1777515736.4404764,7.1,6.988,0.098,0,0.182
1777515736.5411222,7.2,7.01,0.089,0,0.21
1777515736.642068,7.3,6.99,0.09,0,0.204
1777515736.7426915,7.4,6.9,0.092,1,0.167
1777515736.8434253,7.5,6.892,0.058,1,0.157
1777515736.9442942,7.6,6.996,0.069,0,0.149
1777515737.0451021,7.7,6.999,0.093,0,0.185
1777515737.145743,7.8,7.01,0.061,0,0.142
1777515737.2469008,7.9,6.977,0.043,0,0.084
1777515737.347701,8.0,7.0,0.113,0,0.186
1777515737.448504,8.1,7.0,0.114,0,0.216
1777515737.5492685,8.2,7.002,0.064,0,0.14
1777515737.650031,8.3,7.003,0.056,0,0.128
1777515737.7506227,8.4,7.013,0.069,0,0.1
1777515737.8513646,8.5,7.004,0.049,0,0.075
1777515737.952216,8.6,6.997,0.068,0,0.116
1777515738.0530956,8.7,6.995,0.076,0,0.162
1777515738.1538486,8.8,7.003,0.054,0,0.121
1777515738.2549794,8.9,6.978,0.076,0,0.15
1777515738.3554904,9.0,7.019,0.081,0,0.161
1777515738.4564722,9.1,6.988,0.073,0,0.152
1777515738.557172,9.2,7.007,0.104,0,0.155
1777515738.6578443,9.3,7.008,0.072,0,0.119
1777515738.7589102,9.4,6.982,0.114,0,0.164
1777515738.859459,9.5,7.017,0.09,0,0.134
1777515738.9604588,9.6,6.987,0.11,0,0.15
1777515739.0610328,9.7,7.015,0.093,0,0.169
1777515739.1619625,9.8,6.992,0.093,0,0.196
1777515739.262896,9.9,6.991,0.104,0,0.177
1777515739.3633997,10.0,6.908,0.101,1,0.148
1777515739.464275,10.1,6.995,0.09,0,0.183
1777515739.5649843,10.2,7.005,0.078,0,0.121
1777515739.6660964,10.3,6.98,0.076,0,0.177
1777515739.7669659,10.4,6.995,0.073,0,0.14
