timestamp,time_s,throughput_Mbps,jitter_ms,loss,delay_ms
1777611097.6457229,6.0,0.002,0,17,1.684
1777611097.746845,6.1,6.092,0.346,0,0.638
1777611097.8476954,6.2,5.997,0.042,0,0.174
1777611097.9486518,6.3,5.991,0.063,0,0.224
1777611098.049491,6.4,5.998,0.062,0,0.206
1777611098.1500816,6.5,6.012,0.062,0,0.137
1777611098.250876,6.6,6.0,0.051,0,0.108
1777611098.3517227,6.7,5.998,0.05,0,0.142
1777611098.452439,6.8,6.004,0.039,0,0.126
1777611098.5532439,6.9,5.999,0.042,0,0.137
1777611098.6540172,7.0,6.002,0.036,0,0.115
1777611098.754831,7.1,5.999,0.043,0,0.111
1777611098.8557127,7.3,5.996,0.035,0,0.128
1777611098.9564419,7.4,6.004,0.037,0,0.113
1777611099.0571926,7.5,6.003,0.057,0,0.13
1777611099.158031,7.6,5.998,0.048,0,0.147
1777611099.258931,7.7,5.994,0.061,0,0.16
1777611099.3595726,7.8,6.009,0.061,0,0.166
1777611099.4605913,7.9,5.877,0.055,1,0.167
1777611099.561491,8.0,5.994,0.073,0,0.205
1777611099.6620579,8.1,6.013,0.056,0,0.216
1777611099.7629259,8.2,5.996,0.036,0,0.118
1777611099.8638058,8.3,5.996,0.055,0,0.152
1777611099.9645607,8.4,6.002,0.065,0,0.235
1777611100.0654762,8.5,5.994,0.077,0,0.222
1777611100.1661243,8.6,6.008,0.079,0,0.225
1777611100.2669744,8.7,5.997,0.077,0,0.206
1777611100.3676407,8.8,6.007,0.066,0,0.171
1777611100.4686837,8.9,5.987,0.069,0,0.222
1777611100.5695102,9.0,5.999,0.081,0,0.251
1777611100.6702707,9.1,6.002,0.063,0,0.227
1777611100.770906,9.2,6.009,0.056,0,0.235
1777611100.8717678,9.3,5.996,0.086,0,0.206
1777611100.9727278,9.4,5.879,0.099,0,0.151
1777611101.073885,9.5,5.98,0.064,0,0.226
1777611101.174439,9.6,6.014,0.068,0,0.185
1777611101.2751384,9.7,6.006,0.059,0,0.214
1777611101.376001,9.8,5.996,0.033,0,0.082
1777611101.4768276,9.9,6.002,0.051,0,0.16
1777611101.5775342,10.0,6.003,0.063,0,0.174
1777611101.6784267,10.1,5.994,0.044,0,0.106
1777611101.7791898,10.2,6.002,0.046,0,0.13
1777611101.8800063,10.3,5.999,0.039,0,0.136
1777611101.9808104,10.4,6.001,0.069,0,0.153
1777611102.0816278,10.5,5.887,0.058,1,0.185
1777611102.182543,10.6,5.994,0.037,0,0.139
1777611102.2833476,10.7,5.999,0.063,0,0.171
1777611102.3840067,10.8,6.007,0.046,0,0.166
1777611102.4847674,10.9,6.003,0.086,0,0.152
1777611102.5856478,11.0,5.997,0.046,0,0.148
1777611102.6856358,11.1,5.599,0.324,0,2.316
1777611102.7860043,11.2,5.356,0.49,0,12.297
1777611102.8864133,11.3,5.354,0.484,0,22.988
1777611102.9868162,11.4,5.355,0.497,0,33.568
1777611103.0871627,11.5,5.581,0.511,0,44.221
1777611103.187608,11.6,5.464,0.62,0,48.537
1777611103.2891467,11.7,5.405,0.499,0,60.247
1777611103.3894658,11.8,5.917,0.67,0,63.579
1777611103.489873,11.9,5.354,0.497,0,72.245
1777611103.5901744,12.0,6.587,0.586,0,79.136
1777611103.6906314,12.1,4.794,0.809,0,80.218
1777611103.7909758,12.2,5.358,0.532,1,92.558
1777611103.8912473,12.3,6.366,0.846,0,87.139
1777611103.9927826,12.4,5.295,0.585,0,96.769
1777611104.0932763,12.5,6.799,0.622,0,102.125
1777611104.194727,12.6,5.189,0.772,0,93.837
1777611104.2951524,12.7,5.353,0.483,0,107.883
1777611104.3956203,12.8,6.689,0.751,0,104.097
1777611104.4969811,12.9,5.414,0.498,0,106.374
1777611104.5973475,13.0,6.026,0.541,1,115.226
1777611104.6977832,13.1,6.134,0.679,0,102.164
1777611104.7980878,13.2,5.36,0.524,0,112.55
1777611104.8997505,13.3,6.941,0.708,0,112.471
1777611105.0000784,13.4,5.246,0.723,0,108.842
1777611105.1015453,13.5,5.408,0.505,0,119.183
1777611105.201966,13.6,6.916,0.673,0,110.438
1777611105.3023498,13.7,5.355,0.49,0,114.126
1777611105.4026031,13.8,6.591,0.609,1,119.992
1777611105.5042377,13.9,5.731,0.596,0,106.725
1777611105.6045349,14.0,5.36,0.491,0,117.684
1777611105.7048986,14.1,7.03,0.675,0,115.961
1777611105.805268,14.2,5.357,0.493,0,111.533
1777611105.9057384,14.3,5.351,0.498,0,122.136
1777611106.005993,14.4,7.038,0.672,0,112.307
1777611106.1064627,14.5,5.351,0.5,0,115.444
1777611106.206762,14.6,6.699,0.585,0,121.802
1777611106.308401,14.7,5.731,0.613,0,108.572
1777611106.4087431,14.8,5.358,0.765,0,119.907
1777611106.5102713,14.9,6.95,0.704,1,115.787
1777611106.61056,15.0,5.472,0.504,0,111.848
1777611106.7110362,15.1,5.351,0.494,0,121.868
1777611106.8114073,15.2,6.92,0.696,0,110.594
1777611106.911699,15.3,5.359,0.481,0,116.391
1777611107.0121822,15.4,7.137,0.614,0,119.359
1777611107.1127663,15.5,5.232,0.588,0,109.303
1777611107.21399,15.6,5.421,0.479,0,120.381
1777611107.3144305,15.7,7.025,0.649,0,115.341
1777611107.4159636,15.8,5.295,0.513,1,113.215
1777611107.5162997,15.9,5.804,0.543,0,123.157
1777611107.6166365,16.0,6.586,0.646,0,109.462
1777611107.7181292,16.1,5.407,0.487,0,116.871
1777611107.8198118,16.2,7.16,0.621,0,118.779
1777611107.9211645,16.3,5.193,0.563,0,110.56
1777611108.021554,16.4,5.356,0.48,0,121.036
1777611108.1219535,16.5,7.028,0.678,0,115.012
1777611108.22232,16.6,5.356,0.489,1,113.974
1777611108.3226457,16.7,6.028,0.548,0,123.005
1777611108.4242878,16.8,6.281,0.63,0,108.8
1777611108.5257063,16.9,5.411,0.491,0,118.022
1777611108.6261616,17.0,7.135,0.637,0,117.539
1777611108.7264218,17.1,7.597,70.164,1261,73.179
1777611108.8265119,17.2,9.176,65.182,1445,44.537
1777611108.9273996,17.3,5.995,0.023,0,0.138
1777611109.0282116,17.4,5.999,0.074,0,0.16
1777611109.1288743,17.5,6.008,0.03,0,0.08
1777611109.2298625,17.6,5.989,0.051,0,0.116
1777611109.330473,17.7,6.01,0.03,0,0.07
1777611109.4313,17.8,5.999,0.046,0,0.117
1777611109.5321236,17.9,5.999,0.028,0,0.104
1777611109.6329136,18.0,6.001,0.039,0,0.093
1777611109.7336972,18.1,6.001,0.049,0,0.113
1777611109.8345706,18.2,5.996,0.048,0,0.105
1777611109.9352958,18.3,6.004,0.041,0,0.13
1777611110.0360591,18.4,6.002,0.033,0,0.092
1777611110.136856,18.5,5.999,0.034,0,0.081
1777611110.237751,18.6,5.995,0.037,0,0.113
1777611110.3385694,18.7,5.888,0.056,1,0.113
1777611110.439323,18.8,6.003,0.031,0,0.121
